DefaultOrder,Id,Name,PathName,DevName,StarGrade,FamilyName,FamilyNameRuby,PersonalName,PersonalNameRuby,CharacterVoice,School,SchoolYear,CharacterAge,Birthday,BirthDay,CharHeightMetric,Costume
28,16003,スズミ,suzumi,Suzumi,1,守月,もりづき,スズミ,,社本悠,Trinity,2年生,16歳,8月31日,8/31,162cm,
29,16004,フィーナ,pina,Pina,1,朝比奈,あさひな,フィーナ,,木戸衣吹,Hyakkiyako,1年生,17歳,11月3日,11/3,165cm,
30,20000,ヒビキ,hibiki,Hibiki,3,猫塚,ねこづか,ヒビキ,,名塚佳織,Millennium,1年生,15歳,4月2日,4/2,154cm,
31,20001,カリン,karin,Karin,3,角楯,かくだて,カリン,,沼倉愛美,Millennium,2年生,16歳,2月2日,2/2,170cm,
32,20002,サヤ,saya,Saya,3,薬子,やくし,サヤ,,田村ゆかり,Shanhaijing,2年生,16歳,1月3日,1/3,149cm,
33,23000,アイリ,airi,Airi,2,栗村,くりむら,アイリ,,水森ちこ,Trinity,1年生,15歳,1月30日,1/30,160cm,
34,23001,フウカ,fuuka,Fuuka,2,愛清,あいきよ,フウカ,,ファイルーズあい,Gehenna,2年生,16歳,4月30日,4/30,159cm,
35,23002,ハナエ,hanae,Hanae,2,朝顔,あさがお,ハナエ,,優木かな,Trinity,1年生,15歳,5月12日,5/12,150cm,
36,23003,ハレ,hare,Hare,2,小鈎,おまがり,ハレ,,貝原怜奈,Millennium,2年生,16歳,4月19日,4/19,153cm,
37,23004,ウタハ,utaha,Utaha,2,白石,しらいし,ウタハ,,青地希望,Millennium,3年生,17歳,11月13日,11/13,162cm,
38,23005,アヤネ,ayane,Ayane,2,奥空,おくそら,アヤネ,,原田彩楓,Abydos,1年生,15歳,11月12日,11/12,153cm,
39,26000,チナツ,chinatsu,Chinatsu,1,火宮,ひのみや,チナツ,,香月はるか,Gehenna,1年生,15歳,8月22日,8/22,159cm,
40,26001,コタマ,kotama,Kotama,1,音瀬,おとせ,コタマ,,高川みな,Millennium,3年生,17歳,1月5日,1/5,158cm,
41,26002,ジュリ,juri,Juri,1,牛牧,うしまき,ジュリ,,田辺留依,Gehenna,1年生,15歳,10月20日,10/20,170cm,
42,26003,セリナ,serina,Serina,1,鷲見,すみ,セリナ,,涼本あきほ,Trinity,2年生,16歳,1月6日,1/6,156cm,
43,26004,シミコ,shimiko,Shimiko,1,円堂,えんどう,シミコ,,富田美憂,Trinity,1年生,15歳,11月30日,11/30,157cm,
44,26005,ヨシミ,yoshimi,Yoshimi,1,伊原木,いばらぎ,ヨシミ,,真野あゆみ,Trinity,1年生,15歳,8月29日,8/29,146cm,
45,20003,マシロ,mashiro,Mashiro,3,静山,しずやま,マシロ,,鬼頭明里,Trinity,1年生,15歳,6月5日,6/5,155cm,
46,10014,イズナ,izuna,Izuna,3,久田,くだ,イズナ,,阿澄佳奈,Hyakkiyako,1年生,15歳,12月16日,12/16,155cm,
47,23006,シズコ,shizuko,Shizuko,2,河和,かわわ,シズコ,,森永千才,Hyakkiyako,2年生,16歳,7月7日,7/7,153cm,
48,10015,アリス,aris,Aris,3,天童,てんどう,アリス,,田中美海,Millennium,1年生,??歳,3月25日,3/25,152cm,
49,10016,ミドリ,midori,Midori,3,才羽,さいば,ミドリ,,高田憂希,Millennium,1年生,15歳,12月8日,12/8,143cm,
50,13011,モモイ,momoi,Momoi,2,才羽,さいば,モモイ,,徳井青空,Millennium,1年生,15歳,12月8日,12/8,143cm,
51,10017,チェリノ,cherino,Cherino,3,連河,れんかわ,チェリノ,,丹下桜,RedWinter,3年生,??歳,10月27日,10/27,128cm,
52,26006,ノドカ,nodoka,Nodoka,1,天見,あまみ,ノドカ,,佐藤聡美,RedWinter,2年生,16歳,2月20日,2/20,147cm,
53,10018,ユズ,yuzu,Yuzu,3,花岡,はなおか,ユズ,,寺澤百花,Millennium,1年生,16歳,8月12日,8/12,150cm,
54,10019,アズサ,azusa,CH0056,3,白洲,しらす,アズサ,,種田梨沙,Trinity,2年生,16歳,12月26日,12/26,149cm,
55,23007,ハナコ,hanako,CH0055,2,浦和,うらわ,ハナコ,,豊田萌絵,Trinity,2年生,16歳,1月3日,1/3,161cm,
56,10020,コハル,koharu,CH0057,3,下江,しもえ,コハル,,赤尾ひかる,Trinity,1年生,15歳,4月16日,4/16,148cm,
57,10021,アズサ（水着）,azusa_swimsuit,CH0059,3,白洲,しらす,アズサ,,種田梨沙,Trinity,2年生,16歳,12月26日,12/26,149cm,水着
58,20004,マシロ（水着）,mashiro_swimsuit,CH0061,3,静山,しずやま,マシロ,,鬼頭明里,Trinity,1年生,15歳,6月5日,6/5,155cm,水着
59,16005,ツルギ（水着）,tsurugi_swimsuit,CH0060,1,剣先,けんざき,ツルギ,,小林ゆう,Trinity,3年生,17歳,6月24日,6/24,162cm,水着
60,20005,ヒフミ（水着）,hifumi_swimsuit,CH0058,3,阿慈谷,あじたに,ヒフミ,,本渡楓,Trinity,2年生,16歳,11月27日,11/27,158cm,水着
61,10022,ヒナ（水着）,hina_swimsuit,CH0063,3,空崎,そらさき,ヒナ,,広橋涼,Gehenna,3年生,17歳,2月19日,2/19,142cm,水着
62,10023,イオリ（水着）,iori_swimsuit,CH0064,3,銀鏡,しろみ,イオリ,,佐倉綾音,Gehenna,2年生,16歳,11月8日,11/8,157cm,水着
63,16006,イズミ（水着）,izumi_swimsuit,CH0062,1,獅子堂,ししどう,イズミ,,久保ユリカ,Gehenna,2年生,16歳,5月11日,5/11,161cm,水着
64,10024,シロコ（ライディング）,shiroko_cycling,CH0065,3,砂狼,すなおおかみ,シロコ,,小倉唯,Abydos,2年生,16歳,5月16日,5/16,156cm,ライディング
65,10025,シュン（幼女）,shun_small,CH0066,3,春原,すのはら,シュン,,伊藤静,Shanhaijing,3年生,極秘,2月5日,2/5,未測定,幼女
66,13012,キリノ,kirino,CH0140,2,中務,なかつかさ,キリノ,,中島優衣,Valkyrie,1年生,15歳,10月22日,10/22,161cm,
67,20006,サヤ（私服）,saya_casual,CH0133,3,薬子,やくし,サヤ,,田村ゆかり,Shanhaijing,2年生,16歳,1月3日,1/3,149cm,私服
68,10026,ネル（バニーガール）,neru_bunnygirl,CH0101,3,美甘,みかも,ネル,,小清水亜美,Millennium,3年生,17歳,8月17日,8/17,146cm,バニーガール
69,10027,カリン（バニーガール）,karin_bunnygirl,CH0100,3,角楯,かくだて,カリン,,沼倉愛美,Millennium,2年生,16歳,2月2日,2/2,170cm,バニーガール
70,10028,アスナ（バニーガール）,asuna_bunnygirl,CH0098,3,一之瀬,いちのせ,アスナ,,長谷川育美,Millennium,3年生,17歳,3月24日,3/24,167cm,バニーガール
71,10029,ナツ,natsu,CH0155,3,柚鳥,ゆとり,ナツ,,長縄まりあ,Trinity,1年生,15歳,12月4日,12/4,152cm,
72,23008,マリー,mari,CH0072,2,伊落,いおち,マリー,,小澤亜李,Trinity,1年生,15歳,9月12日,9/12,151cm,
73,20007,初音ミク,hatsune_miku,CH9999,3,初音,はつね,ミク,,藤田咲,ETC,,16歳,8月31日,8/31,158cm,
74,20008,アコ,ako,CH0083,3,天雨,あまう,アコ,,高野麻里佳,Gehenna,3年生,17歳,12月22日,12/22,165cm,
75,20009,チェリノ（温泉）,cherino_onsen,CH0164,3,連河,れんかわ,チェリノ,,丹下桜,RedWinter,3年生,??歳,10月27日,10/27,128cm,温泉
76,10030,チナツ（温泉）,chinatsu_onsen,CH0163,3,火宮,ひのみや,チナツ,,香月はるか,Gehenna,1年生,15歳,8月22日,8/22,159cm,温泉
77,16007,トモエ,tomoe,CH0120,1,佐城,さしろ,トモエ,,厚木那奈美,RedWinter,3年生,17歳,11月10日,11/10,165cm,
78,20010,ノドカ（温泉）,nodoka_onsen,CH0165,3,天見,あまみ,ノドカ,,佐藤聡美,RedWinter,2年生,16歳,2月20日,2/20,147cm,温泉
79,10031,アル（正月）,aru_newyear,CH0084,3,陸八魔,りくはちま,アル,,近藤玲奈,Gehenna,2年生,16歳,3月12日,3/12,160cm,正月
80,10032,ムツキ（正月）,mutsuki_newyear,CH0085,3,浅黄,あさぎ,ムツキ,,大久保瑠美,Gehenna,2年生,16歳,7月29日,7/29,144cm,正月
81,20011,セリカ（正月）,serika_newyear,CH0090,3,黒見,くろみ,セリカ,,大橋彩香,Abydos,1年生,15歳,6月25日,6/25,153cm,正月
82,10033,ワカモ,wakamo,CH0111,3,狐坂,こさか,ワカモ,,斎藤千和,Hyakkiyako,停学中,18歳,4月3日,4/3,161cm,
83,16008,フブキ,fubuki,CH0141,1,合歓垣,ねむがき,フブキ,,平山笑美,Valkyrie,1年生,15歳,10月21日,10/21,148cm,
84,20012,セナ,sena,CH0081,3,氷室,ひむろ,セナ,,大西沙織,Gehenna,3年生,17歳,4月7日,4/7,155cm,
85,20013,チヒロ,chihiro,CH0160,3,各務,かがみ,チヒロ,,山村響,Millennium,3年生,17歳,4月26日,4/26,160cm,
86,10034,ミモリ,mimori,CH0115,3,水羽,みずは,ミモリ,,田中理恵,Hyakkiyako,2年生,16歳,3月15日,3/15,156cm,
87,10035,ウイ,ui,CH0169,3,古関,こぜき,ウイ,,後藤沙緒里,Trinity,3年生,17歳,4月23日,4/23,165cm,
88,10036,ヒナタ,hinata,CH0073,3,若葉,わかば,ヒナタ,,日高里菜,Trinity,3年生,17歳,5月17日,5/17,166cm,
89,10037,マリナ,marina,CH0119,3,池倉,いけくら,マリナ,,平井祥恵,RedWinter,2年生,16歳,11月4日,11/4,166cm,
90,10038,ミヤコ,miyako,CH0142,3,月雪,つきゆき,ミヤコ,,藤田茜,SRT,1年生,15歳,1月7日,1/7,156cm,
91,20014,サキ,saki,CH0144,3,空井,そらい,サキ,,友永朱音,SRT,1年生,15歳,4月9日,4/9,161cm,
92,10039,ミユ,miyu,CH0145,3,霞沢,かすみざわ,ミユ,,後藤邑子,SRT,1年生,15歳,7月12日,7/12,149cm,
93,20015,カエデ,kaede,CH0116,3,勇美,いさみ,カエデ,,加藤英美里,Hyakkiyako,1年生,15歳,7月9日,7/9,142cm,
94,20016,イロハ,iroha,CH0156,3,棗,なつめ,イロハ,,福圓美里,Gehenna,2年生,16歳,11月16日,11/16,151cm,
95,16009,ミチル,michiru,CH0113,1,千鳥,ちどり,ミチル,,水橋かおり,Hyakkiyako,3年生,17歳,2月22日,2/22,153cm,
96,10040,ツクヨ,tsukuyo,CH0114,3,大野,おおの,ツクヨ,,後藤彩佐,Hyakkiyako,1年生,15歳,4月5日,4/5,180cm,
97,10041,ミサキ,misaki,CH0105,3,戒野,いましの,ミサキ,,土屋李央,Arius,2年生,16歳,1月13日,1/13,163cm,
98,20017,ヒヨリ,hiyori,CH0106,3,槌永,つちなが,ヒヨリ,,中原麻衣,Arius,2年生,16歳,1月8日,1/8,155cm,
99,10042,アツコ,atsuko,CH0104,3,秤,はかり,アツコ,,花澤香菜,Arius,1年生,15歳,1月20日,1/20,158cm,
100,10043,ワカモ（水着）,wakamo_swimsuit,CH0175,3,狐坂,こさか,ワカモ,,斎藤千和,Hyakkiyako,停学中,18歳,4月3日,4/3,161cm,水着
101,10044,ノノミ（水着）,nonomi_swimsuit,CH0092,3,十六夜,いざよい,ノノミ,,三浦千幸,Abydos,2年生,16歳,9月1日,9/1,160cm,水着
102,26007,アヤネ（水着）,ayane_swimsuit,CH0176,1,奥空,おくそら,アヤネ,,原田彩楓,Abydos,1年生,15歳,11月12日,11/12,153cm,水着
103,10045,ホシノ（水着）,hoshino_swimsuit,CH0091,3,小鳥遊,たかなし,ホシノ,,花守ゆみり,Abydos,3年生,17歳,1月2日,1/2,145cm,水着
104,26008,シズコ（水着）,shizuko_swimsuit,CH0180,1,河和,かわわ,シズコ,,森永千才,Hyakkiyako,2年生,16歳,7月7日,7/7,153cm,水着
105,10046,イズナ（水着）,izuna_swimsuit,CH0179,3,久田,くだ,イズナ,,阿澄佳奈,Hyakkiyako,1年生,15歳,12月16日,12/16,155cm,水着
106,10047,チセ（水着）,chise_swimsuit,CH0178,3,和楽,わらく,チセ,,嶋村侑,Hyakkiyako,2年生,16歳,7月13日,7/13,159cm,水着
107,10048,サオリ,saori,CH0103,3,錠前,じょうまえ,サオリ,,石上静香,Arius,2年生,17歳,9月3日,9/3,167cm,
108,20018,モエ,moe,CH0143,3,風倉,かぜくら,モエ,,井澤詩織,SRT,1年生,15歳,9月13日,9/13,163cm,
109,10049,カズサ,kazusa,CH0075,3,杏山,きょうやま,カズサ,,夏吉ゆうこ,Trinity,1年生,15歳,8月5日,8/5,155cm,
110,10050,ココナ,kokona,CH0137,3,春原,すのはら,ココナ,,五十嵐裕美,Shanhaijing,1年生,11歳,6月1日,6/1,139cm,
111,10051,ウタハ（応援団）,utaha_cheerleader,CH0182,3,白石,しらいし,ウタハ,,青地希望,Millennium,3年生,17歳,11月13日,11/13,162cm,応援団
112,10052,ノア,noa,CH0095,3,生塩,うしお,ノア,,鈴代紗弓,Millennium,2年生,16歳,4月13日,4/13,161cm,
113,16010,ヒビキ（応援団）,hibiki_cheerleader,CH0181,1,猫塚,ねこづか,ヒビキ,,名塚佳織,Millennium,1年生,15歳,4月2日,4/2,154cm,応援団
114,20019,アカネ（バニーガール）,akane_bunnygirl,CH0099,3,室笠,むろかさ,アカネ,,原由実,Millennium,2年生,16歳,4月1日,4/1,164cm,バニーガール
115,10053,ユウカ（体操服）,yuuka_track,CH0184,3,早瀬,はやせ,ユウカ,,春花らん,Millennium,2年生,16歳,3月14日,3/14,156cm,体操服
116,10054,マリー（体操服）,mari_track,CH0186,3,伊落,いおち,マリー,,小澤亜李,Trinity,1年生,15歳,9月12日,9/12,151cm,体操服
117,16011,ハスミ（体操服）,hasumi_track,CH0190,1,羽川,はねかわ,ハスミ,,瀬戸麻沙美,Trinity,3年生,17歳,12月12日,12/12,179cm,体操服
118,20020,ヒマリ,himari,CH0159,3,明星,あけぼし,ヒマリ,,ゆかな,Millennium,3年生,17歳,12月10日,12/10,162cm,
119,10055,シグレ,shigure,CH0122,3,間宵,まよい,シグレ,,河瀬茉希,RedWinter,2年生,16歳,1月22日,1/22,156cm,
120,10056,セリナ（クリスマス）,serina_christmas,CH0194,3,鷲見,すみ,セリナ,,涼本あきほ,Trinity,2年生,16歳,1月6日,1/6,156cm,クリスマス
121,20021,ハナエ（クリスマス）,hanae_christmas,CH0195,3,朝顔,あさがお,ハナエ,,優木かな,Trinity,1年生,15歳,5月12日,5/12,150cm,クリスマス
122,10057,ハルナ（正月）,haruna_newyear,CH0191,3,黒舘,くろだて,ハルナ,,田所あずさ,Gehenna,3年生,17歳,3月1日,3/1,163cm,正月
123,20022,フウカ（正月）,fuuka_newyear,CH0177,3,愛清,あいきよ,フウカ,,ファイルーズあい,Gehenna,2年生,16歳,4月30日,4/30,159cm,正月
124,16012,ジュンコ（正月）,junko_newyear,CH0192,1,赤司,あかし,ジュンコ,,金元 寿子,Gehenna,1年生,15歳,12月27日,12/27,149cm,正月
125,10058,ミネ,mine,CH0152,3,蒼森,あおもり,ミネ,,堀江由衣,Trinity,3年生,17歳,11月23日,11/23,168cm,
126,10059,ミカ,mika,CH0069,3,聖園,みその,ミカ,,東山奈央,Trinity,3年生,17歳,5月8日,5/8,157cm,
127,10060,メグ,megu,CH0088,3,下倉,しもくら,メグ,,愛原ありさ,Gehenna,3年生,17歳,4月25日,4/25,164cm,
128,20023,カンナ,kanna,CH0170,3,尾刃,おがた,カンナ,,松岡美里,Valkyrie,3年生,17歳,9月7日,9/7,166cm,
129,10061,サクラコ,sakurako,CH0067,3,歌住,うたずみ,サクラコ,,加隈亜衣,Trinity,3年生,17歳,10月4日,10/4,160cm,
130,10062,トキ,toki,CH0187,3,飛鳥馬,あすま,トキ,,石川由依,Millennium,1年生,16歳,8月16日,8/16,165cm,
131,20024,ナギサ,nagisa,CH0068,3,桐藤,きりふじ,ナギサ,,早見沙織,Trinity,3年生,17歳,7月4日,7/4,160cm,
132,10063,コユキ,koyuki,CH0198,3,黒崎,くろさき,コユキ,,乾夏寧,Millennium,1年生,15歳,2月14日,2/14,149cm,
133,10064,カヨコ（正月）,kayoko_newyear,CH0086,3,鬼方,おにかた,カヨコ,,藤井ゆきよ,Gehenna,3年生,18歳,3月17日,3/17,157cm,正月
134,20025,ハルカ（正月）,haruka_newyear,CH0087,3,伊草,いぐさ,ハルカ,,石飛恵里花,Gehenna,1年生,15歳,5月13日,5/13,157cm,正月
135,10065,カホ,kaho,CH0107,3,桑上,くわかみ,カホ,,松井恵理子 ,Hyakkiyako,3年生,17歳,10月9日,10/9,173cm,
136,10066,アリス（メイド）,aris_maid,CH0200,3,天童,てんどう,アリス,,田中美海,Millennium,1年生,??歳,3月25日,3/25,152cm,メイド
137,10067,トキ（バニーガール）,toki_bunnygirl,CH0211,3,飛鳥馬,あすま,トキ,,石川由依,Millennium,1年生,16歳,8月16日,8/16,165cm,バニーガール
138,26009,ユズ（メイド）,yuzu_maid,CH0203,1,花岡,はなおか,ユズ,,寺澤百花,Millennium,1年生,16歳,8月12日,8/12,150cm,メイド
139,10068,レイサ,reisa,CH0167,3,宇沢,うざわ,レイサ,,根本京里,Trinity,1年生,15歳,5月31日,5/31,153cm,
140,10069,ルミ,rumi,CH0135,3,朱城,あけしろ,ルミ,,青山吉能,Shanhaijing,3年生,17歳,3月5日,3/5,168cm,
141,10070,ミナ,mina,CH0138,3,近衛,このえ,ミナ,,佐藤利奈,Shanhaijing,2年生,16歳,9月9日,9/9,166cm,
142,20026,ミノリ,minori,CH0214,3,安守,やすもり,ミノリ,,菊池紗矢香,RedWinter,3年生,17歳,7月14日,7/14,158cm,
143,10071,ミヤコ（水着）,miyako_swimsuit,CH0215,3,月雪,つきゆき,ミヤコ,,藤田茜,SRT,1年生,15歳,1月7日,1/7,156cm,水着
144,10072,サキ（水着）,saki_swimsuit,CH0217,3,空井,そらい,サキ,,友永朱音,SRT,1年生,15歳,4月9日,4/9,161cm,水着
145,26010,ミユ（水着）,miyu_swimsuit,CH0218,1,霞沢,かすみざわ,ミユ,,後藤邑子,SRT,1年生,15歳,7月12日,7/12,149cm,水着
146,20027,シロコ（水着）,shiroko_swimsuit,CH0188,3,砂狼,すなおおかみ,シロコ,,小倉唯,Abydos,2年生,16歳,5月16日,5/16,156cm,水着
147,10073,ウイ（水着）,ui_swimsuit,CH0204,3,古関,こぜき,ウイ,,後藤沙緒里,Trinity,3年生,17歳,4月23日,4/23,165cm,水着
148,20028,ヒナタ（水着）,hinata_swimsuit,CH0210,3,若葉,わかば,ヒナタ,,日高里菜,Trinity,3年生,17歳,5月17日,5/17,166cm,水着
149,16013,コハル（水着）,koharu_swimsuit,CH0205,1,下江,しもえ,コハル,,赤尾ひかる,Trinity,1年生,15歳,4月16日,4/16,148cm,水着
150,10074,ハナコ（水着）,hanako_swimsuit,CH0209,3,浦和,うらわ,ハナコ,,豊田萌絵,Trinity,2年生,16歳,1月3日,1/3,161cm,水着
151,20029,ミモリ（水着）,mimori_swimsuit,CH0183,3,水羽,みずは,ミモリ,,田中理恵,Hyakkiyako,2年生,16歳,3月15日,3/15,156cm,水着
152,10075,メル,meru,CH0124,3,姫木,ひめき,メル,,新井里美,RedWinter,2年生,16歳,12月21日,12/21,137cm,
153,13013,モミジ,momiji,CH0126,2,秋泉,あきいずみ,モミジ,,大亀あすか,RedWinter,1年生,15歳,8月7日,8/7,135cm,
154,10076,コトリ（応援団）,kotori_cheerleader,CH0185,3,豊見,とよみ, コトリ,,篠原なるみ,Millennium,1年生,15歳,12月31日,12/31,151cm,応援団
155,20030,ハルナ（体操服）,haruna_track,CH0193,3,黒舘,くろだて,ハルナ,,田所あずさ,Gehenna,3年生,17歳,3月1日,3/1,163cm,体操服
156,10077,イチカ,ichika,CH0071,3,仲正,なかまさ,イチカ,,鷲見友美ジェナ,Trinity,2年生,16歳,11月11日,11/11,163cm,
157,10078,カスミ,kasumi,CH0089,3,鬼怒川,きぬがわ,カスミ,,上坂すみれ ,Gehenna,2年生,16歳,5月24日,5/24,148cm,
158,20031,シグレ（温泉）,shigure_onsen,CH0123,3,間宵,まよい,シグレ,,河瀬茉希,RedWinter,2年生,16歳,1月22日,1/22,156cm,温泉
159,10079,御坂美琴,misaka_mikoto,CH9998,3,御坂,みさか, 美琴,みこと,佐藤利奈,Tokiwadai,2年生,14歳,5月2日,5/2,161cm,
160,10080,食蜂操祈,shokuhou_misaki,CH9997,3,食蜂,しょくほう,操祈,みさき,浅倉杏美,Tokiwadai,2年生,14歳,-,-,-,
161,26011,佐天涙子,saten_ruiko,CH9996,1,佐天,さてん,涙子,るいこ,伊藤かな恵,Sakugawa,1年生,12歳,-,-,160cm,
162,10081,ユカリ,yukari,CH0161,3,勘解由小路,かでのこうじ,ユカリ,,村上まなつ,Hyakkiyako,1年生,15歳,6月16日,6/16,155cm,
163,10082,レンゲ,renge,CH0224,3,不破,ふわ,レンゲ,,小市眞琴,Hyakkiyako,2年生,16歳,7月23日,7/23,157cm,
164,10083,キキョウ,kikyou,CH0225,3,桐生,きりゅう,キキョウ,,小松未可子,Hyakkiyako,2年生,16歳,8月8日,8/8,160cm,
165,20032,エイミ（水着）,eimi_swimsuit,CH0219,3,和泉元,いずみもと,エイミ,,松永あかね,Millennium,1年生,15歳,5月1日,5/1,167cm,水着
166,10084,コタマ（キャンプ）,kotama_camp,CH0232,3,音瀬,おとせ,コタマ,,高川みな,Millennium,3年生,17歳,1月5日,1/5,158cm,キャンプ
167,10085,ハレ（キャンプ）,hare_camp,CH0233,3,小鈎,おまがり,ハレ,,貝原怜奈,Millennium,2年生,16歳,4月19日,4/19,153cm,キャンプ
168,10087,アコ（ドレス）,ako_dress,CH0231,3,天雨,あまう,アコ,,高野麻里佳,Gehenna,3年生,17歳,12月22日,12/22,165cm,ドレス
169,16014,イブキ,ibuki,CH0077,1,丹花,たんが,イブキ,,春瀬なつみ,Gehenna,1年生,11歳,4月14日,4/14,128cm,
170,20033,マコト,makoto,CH0079,3,羽沼,はぬま,マコト,,浅川悠,Gehenna,3年生,18歳,3月19日,3/19,169cm,
171,10086,ヒナ（ドレス）,hina_dress,CH0230,3,空崎,そらさき,ヒナ,,広橋涼,Gehenna,3年生,17歳,2月19日,2/19,142cm,ドレス
172,10088,カヨコ（ドレス）,kayoko_dress,CH0239,3,鬼方,おにかた,カヨコ,,藤井ゆきよ,Gehenna,3年生,18歳,3月17日,3/17,157cm,ドレス
173,10089,アル（ドレス）,aru_dress,CH0240,3,陸八魔,りくはちま,アル,,近藤玲奈,Gehenna,2年生,16歳,3月12日,3/12,160cm,ドレス
174,20034,アカリ（正月）,akari_newyear,CH0196,3,鰐渕,わにぶち,アカリ,,森嶋優花,Gehenna,3年生,17歳,12月9日,12/9,167cm,正月
175,10090,ウミカ,umika,CH0110,3,里浜,さとはま,ウミカ,,新田ひより,Hyakkiyako,1年生,15歳, 7月1日,7/1,165cm,
176,20035,ツバキ（ガイド）,tsubaki_guide,CH0255,3,春日,かすが,ツバキ,,白砂沙帆,Hyakkiyako,2年生,16歳, 2月3日,2/3,162cm,ガイド
177,10091,カズサ（バンド）,kazusa_band,CH0250,3,杏山,きょうやま,カズサ,,夏吉ゆうこ,Trinity,1年生,15歳,8月5日,8/5,155cm,バンド
178,10092,ヨシミ（バンド）,yoshimi_band,CH0220,3,伊原木,いばらぎ,ヨシミ,,真野あゆみ,Trinity,1年生,15歳,8月29日,8/29,146cm,バンド
